RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1
629.2,0,1,6,18,24,60,7,0,0,0,0,0,0,0,1,6,8.175247,0.18331897
541.1,0,1,5,15,21,52,6,0,0,0,0,0,0,0,1,5,7.5409155,-0.03435123
452.9,0,1,4,12,18,44,5,0,0,0,0,0,0,0,1,4,6.5178714,-0.19323277
585.1,0,1,5,15,22,52,8,0,0,0,0,0,0,0,2,6,6.2966347,-0.72510946
643.2,0,1,6,18,24,58,8,0,0,0,0,0,0,0,2,6,7.060109,-0.20574439
392.67,0,0,3,9,15,32,6,0,0,0,0,0,0,0,2,3,4.1572304,-2.1041405
765.4,0,1,5,12,36,80,7,0,0,0,0,0,0,0,2,5,11.986224,0.029597998
571.1,0,1,5,16,22,54,7,0,0,0,0,0,0,0,1,6,6.9482803,-1.0266184
482.9,0,1,4,13,19,46,6,0,0,0,0,0,0,0,1,5,5.428917,-1.6047113
919.7,0,0,8,24,36,86,11,0,0,0,0,0,0,0,0,11,9.813025,-5.8844438
482.9,0,0,4,13,19,46,6,0,0,0,0,0,0,0,0,6,5.112884,-3.2233896
366.6,0,0,2,9,15,34,6,0,0,0,0,0,0,0,0,6,2.7168608,-5.639309
424.8,0,0,3,11,17,40,6,0,0,0,0,0,0,0,0,6,3.7485108,-4.6608887
993.9,0,0,9,27,39,96,11,0,0,0,0,0,0,0,0,11,11.153828,-4.5770745
1372.6,0,0,12,36,54,130,16,0,0,0,0,0,0,0,0,16,11.964937,-7.1756163
378.68,0,0,3,9,15,34,5,0,0,0,0,0,0,0,0,5,3.777768,-3.7246203
496.9,0,0,4,13,20,48,6,0,0,0,0,0,0,0,0,6,5.3393745,-3.3677113
454.8,0,0,3,12,18,42,7,0,0,0,0,0,0,0,0,7,3.270064,-5.3346534
687.3,0,0,6,18,27,66,8,0,0,0,0,0,0,0,0,8,7.9244914,-3.854786
394.72,0,0,3,11,16,38,5,0,0,0,0,0,0,0,0,5,4.2883143,-3.221808
831.6,0,0,7,22,33,78,10,0,0,0,0,0,0,0,0,10,9.191295,-5.8364387
743.4,0,0,6,20,30,70,9,0,0,0,0,0,0,0,0,9,8.418263,-5.470099
1677.1,0,0,14,42,66,154,21,0,0,0,0,0,0,0,0,21,6.6434436,-10.842941
1298.4,0,0,11,33,51,120,16,0,0,0,0,0,0,0,0,16,10.343537,-8.062452
1008.0,0,0,9,27,40,98,11,0,0,0,0,0,0,0,0,11,11.39496,-4.4652514
965.9,0,0,9,27,37,92,11,0,0,0,0,0,0,0,0,11,10.651585,-4.496395
819.5,0,0,4,25,43,94,6,0,0,0,0,0,0,0,0,6,14.173573,-0.8778684
585.1,0,0,5,15,23,56,7,0,0,0,0,0,0,0,0,7,6.0379243,-3.435657
438.9,0,0,4,12,17,42,5,0,0,0,0,0,0,0,0,5,5.5175657,-1.9034379
282.48,0,0,2,6,13,22,3,0,0,0,0,1,0,0,1,2,5.4427633,-0.03262925
370.66,0,0,3,9,16,30,4,0,0,0,0,1,0,0,1,3,6.7032843,-0.23547398
224.33,0,0,1,4,11,16,3,0,0,0,0,1,0,0,1,2,3.5921278,-1.7527567
366.6,0,0,2,10,19,34,3,0,0,0,0,1,0,0,1,2,7.0951657,-0.20652223
496.9,0,0,3,15,25,48,4,0,0,0,0,1,0,0,1,3,9.899757,0.3995837
296.51,0,0,2,7,14,24,3,0,0,0,0,1,0,0,1,2,6.0871644,-0.1537453
252.38,0,0,1,5,13,20,3,0,0,0,0,1,0,1,1,2,4.0525265,-2.3171954
208.33,0,0,1,4,11,16,2,0,0,0,0,1,0,0,1,1,4.105908,-1.4370625
236.38,0,0,1,4,13,20,2,0,0,0,0,1,0,0,1,1,4.4891543,-1.6974639
250.41,0,0,1,4,14,22,2,0,0,0,0,1,0,0,1,1,4.8467913,-1.8976818
222.35,0,0,1,4,12,18,2,0,0,0,0,1,0,0,1,1,4.2563577,-1.5805839
224.33,0,0,1,4,11,16,3,0,0,0,0,1,0,0,1,2,3.5921278,-1.7527567
278.46,0,0,1,6,16,26,2,0,0,0,0,1,0,0,1,1,5.9279494,-1.1551999
266.41,0,0,1,6,14,22,3,0,0,0,0,1,0,0,1,2,4.7016954,-0.9684842
252.38,0,0,1,5,13,20,3,0,0,0,0,1,0,1,1,2,4.0525265,-2.3171954
210.26,1,0,1,2,9,10,4,0,0,0,0,1,0,0,1,3,1.4115546,-2.034278
179.22,1,0,1,1,8,7,3,0,0,0,0,1,0,0,1,2,1.5883508,-1.9972669
194.26,1,0,1,2,9,10,3,0,0,0,0,1,0,0,1,2,1.9161665,-1.940286
256.33,1,0,1,1,14,12,3,0,0,0,0,2,0,0,1,2,2.8672626,-2.5352144
224.28,1,0,1,2,10,12,4,0,0,0,0,1,0,0,1,3,1.6284215,-2.028799
236.34,0,0,1,4,12,16,3,0,0,0,0,1,0,0,2,1,3.1422412,-3.365587
210.3,0,0,1,3,10,14,3,0,0,0,0,1,0,1,1,2,3.099361,-2.7752845
256.33,0,0,1,4,11,16,5,0,0,0,0,1,0,0,1,4,2.434214,-3.7773209
298.48,0,0,2,6,13,22,4,0,0,0,0,1,0,0,1,3,4.581926,-0.5468266
300.45,0,0,2,6,12,20,5,0,0,0,0,0,2,0,2,4,2.6936784,-1.626684
316.58,0,1,2,10,15,32,3,0,0,0,0,0,1,0,1,2,5.4589295,0.51174295
232.42,0,1,2,6,9,20,3,0,0,0,0,0,1,0,1,2,4.0011325,0.46969485
334.57,0,1,2,10,15,31,3,1,0,0,0,0,1,0,1,2,5.435201,0.5105449
250.41,0,1,2,6,9,19,3,1,0,0,0,0,1,0,1,2,4.063957,0.61480594
316.58,1,1,2,7,15,32,3,0,0,0,0,0,1,0,1,1,6.5624485,-0.30608582
320.6,0,1,3,9,12,28,4,0,0,0,0,0,1,0,1,3,4.596015,0.551504
248.42,0,1,2,6,9,20,4,0,0,0,0,0,0,1,1,3,2.2986355,-1.7812078
457.9,0,0,4,12,20,43,3,0,1,0,0,1,0,0,0,3,7.691661,-0.5881237
369.7,0,0,3,9,17,35,2,0,1,0,0,1,0,0,0,2,6.3547525,-1.3369446
471.9,0,0,4,12,21,45,3,0,1,0,0,1,0,0,0,3,7.907315,-0.5223416
413.8,0,0,3,11,19,39,3,0,1,0,0,1,0,0,0,3,6.2400985,-2.2038186
530.1,0,0,5,15,23,51,3,0,1,0,0,1,0,0,0,3,9.05455,0.4062016
441.9,0,0,4,12,20,43,2,0,1,0,0,1,0,0,0,2,8.437817,0.21228325
369.7,0,0,3,9,17,35,2,0,1,0,0,1,0,0,0,2,6.3547525,-1.3369446
427.8,0,0,3,11,20,41,3,0,1,0,0,1,0,0,0,3,6.596613,-2.1296287
399.7,0,0,3,10,18,37,3,0,1,0,0,1,0,0,0,3,6.007004,-2.4746108
381.7,0,0,2,10,20,39,2,0,1,0,0,1,0,0,0,2,6.855252,-1.4775817
297.54,0,0,2,6,14,27,2,0,1,0,0,1,0,0,0,2,5.2978845,-2.7333848
397.7,0,0,2,10,20,39,3,0,1,0,0,1,0,1,0,3,6.328666,-4.497479
626.2,0,0,4,20,32,67,3,0,1,0,0,1,0,0,0,3,12.09456,0.021708727
496.0,0,0,3,15,26,53,2,0,1,0,0,1,0,0,0,2,10.523784,0.13313842
209.32,0,0,1,3,10,15,2,0,1,0,0,1,0,0,1,1,3.5108266,-3.7916574
281.5,0,0,2,6,13,23,2,0,1,0,0,1,0,0,1,1,4.6646404,-2.386974
251.35,0,0,1,4,12,17,3,0,1,0,0,1,0,0,2,1,3.4174368,-5.2315135
209.32,0,0,1,3,10,15,2,0,1,0,0,1,0,1,1,1,3.547603,-4.6800213
193.27,1,0,1,2,9,11,2,0,1,0,0,1,0,0,1,1,2.7898314,-3.5461023
237.37,0,0,1,4,12,19,2,0,1,0,0,1,0,0,1,1,3.955334,-4.1054077
271.46,0,0,2,7,10,21,2,0,3,0,0,1,0,0,0,2,3.3686774,-2.372762
355.62,0,0,2,11,16,33,2,0,3,0,0,1,0,0,0,2,5.14014,-2.516387
325.43,0,0,2,6,10,18,2,3,3,0,0,1,0,0,0,2,3.4263468,-2.0676053
344.63,0,0,3,9,13,28,3,0,2,0,0,1,0,0,0,3,4.3579235,-1.8745612
470.9,0,0,3,15,22,46,3,0,2,0,0,1,0,0,0,3,7.8679633,-1.0403835
343.64,0,0,3,9,13,29,2,0,3,0,0,1,0,0,0,2,4.571494,-1.7502068
256.45,0,0,2,6,10,20,2,0,2,0,0,1,0,0,0,2,3.68966,-2.0286076
340.61,0,0,2,10,16,32,2,0,2,0,0,1,0,0,0,2,5.463476,-2.3501008
469.9,0,0,3,15,22,47,2,0,3,0,0,1,0,0,0,2,8.490321,-0.6072264
290.89,0,0,2,6,10,19,2,0,2,1,0,1,0,0,0,2,4.117874,-1.2321221
358.65,0,0,3,9,14,30,3,0,2,0,0,1,0,0,0,3,4.6641054,-2.0598392
270.47,0,0,2,7,11,22,2,0,2,0,0,1,0,0,0,2,3.9005094,-1.8557804
314.53,0,0,2,7,13,26,3,0,2,0,0,1,0,0,0,3,3.6701548,-3.328423
324.45,0,0,2,6,11,19,2,3,2,0,0,1,0,0,0,2,4.059508,-1.3410734
328.63,0,0,3,9,13,28,2,0,2,0,0,1,0,0,0,2,5.032751,-1.4278429
226.35,0,0,1,5,10,18,2,0,2,0,0,1,0,0,0,2,3.211575,-3.4128644
354.6,0,0,2,11,17,34,2,0,2,0,0,1,0,0,0,2,5.6375203,-2.3629146
286.47,0,0,2,6,11,22,3,0,2,0,0,1,0,1,0,3,3.3204393,-4.2392597
196.32,0,0,1,5,9,16,1,0,2,0,0,1,0,0,0,1,3.534983,-2.1483433
347.71,0,1,3,9,15,37,2,0,1,0,0,0,0,0,1,1,6.273451,-0.17837334
347.71,0,1,3,10,15,37,2,0,1,0,0,0,0,0,1,1,6.318335,-0.1856618
333.69,0,1,3,10,14,35,2,0,1,0,0,0,0,0,1,1,6.0228243,-0.06002176
362.73,0,1,3,9,15,38,2,0,2,0,0,0,0,0,1,1,4.659496,-2.4542348
275.53,0,1,2,7,12,29,2,0,1,0,0,0,0,0,1,1,3.882278,-1.3770847
365.73,0,1,3,9,15,39,3,0,1,0,0,0,0,0,0,3,4.1459546,-1.7985796
263.52,0,1,2,7,11,29,2,0,1,0,0,0,0,0,0,2,3.439666,-1.7873912
290.52,1,1,1,6,14,34,2,0,2,0,0,0,0,0,0,2,4.254141,-5.094249
189.37,1,1,1,5,9,23,1,0,1,0,0,0,0,0,0,1,3.2095425,-2.3845458
492.0,0,1,3,9,24,57,3,0,1,0,0,0,0,0,0,3,8.499713,-0.029652
277.55,0,1,2,7,12,31,2,0,1,0,0,0,0,0,0,2,3.6134057,-1.8035971
321.68,0,1,3,9,13,35,2,0,1,0,0,0,0,0,0,2,4.4955716,-0.50680983
351.7,0,1,3,9,14,37,3,0,1,0,0,0,0,0,0,3,3.9597085,-1.7577868
305.6,0,1,2,7,14,35,2,0,1,0,0,0,0,0,0,2,3.9843338,-1.7956667
307.58,1,1,2,7,13,33,3,0,1,0,0,0,0,0,0,2,4.1912494,-3.6521237
385.7,0,0,3,10,17,35,3,0,1,0,0,1,0,0,0,3,5.8864727,-2.253772
384.7,0,0,3,10,17,36,2,0,2,0,0,1,0,0,0,2,5.8129864,-2.3789418
297.54,0,0,2,8,14,27,2,0,1,0,0,1,0,0,0,2,5.4068813,-1.635115
223.34,0,0,1,4,11,17,2,0,1,0,0,1,0,0,0,2,3.5927596,-3.5912268
512.0,0,0,3,16,26,53,3,0,1,0,0,1,0,0,0,3,9.895442,-0.3583585
396.7,0,0,2,11,20,40,2,0,2,0,0,1,0,0,0,2,5.908189,-4.127098
413.7,0,0,2,10,20,39,4,0,1,0,0,1,0,2,0,4,5.6685457,-5.8361964
281.42,1,1,1,6,14,23,3,0,1,0,0,1,0,0,0,3,3.6861465,-3.3711731
396.7,0,0,2,11,20,40,2,0,2,0,0,1,0,0,0,2,5.908189,-4.127098
482.7,1,1,3,6,18,26,8,0,2,0,0,2,0,0,0,0,6.517688,-3.7508216
408.51,1,1,2,4,16,20,7,0,2,0,0,2,0,0,0,0,5.721253,-4.2275057
421.7,0,0,3,9,19,31,4,0,1,0,0,2,0,0,1,3,6.7923203,-1.892793
333.53,0,0,2,6,16,23,3,0,1,0,0,2,0,0,1,2,5.1027923,-3.9633484
363.6,0,0,2,7,17,25,4,0,1,0,0,2,0,0,1,3,4.9549317,-4.2183423
417.7,0,0,2,10,22,35,3,0,1,0,0,2,0,0,1,2,7.6132917,-1.5774189
547.9,0,0,3,15,28,49,4,0,1,0,0,2,0,0,1,3,10.129249,-1.3770633
317.5,0,0,1,6,17,23,3,0,1,0,0,2,0,0,1,2,4.80231,-4.568978
347.5,0,0,1,6,19,26,2,1,1,0,0,2,0,0,1,1,5.6455545,-4.5392356
249.57,1,1,3,9,9,27,1,0,1,0,0,0,0,0,0,1,5.5040846,0.5182661
321.75,1,1,4,11,12,35,1,0,1,0,0,0,0,0,0,1,7.053661,-0.001222372
613.2,0,0,6,18,24,60,6,0,0,0,0,0,0,0,0,6,7.7755966,0.061400052
525.1,0,0,5,15,21,52,5,0,0,0,0,0,0,0,0,5,7.2736845,-0.12058425
436.9,0,0,4,12,18,44,4,0,0,0,0,0,0,0,0,4,6.743123,-0.21287012
555.1,0,0,5,16,22,54,6,0,0,0,0,0,0,0,0,6,6.652315,-1.0244547
484.9,0,0,4,8,22,44,4,0,0,0,0,0,4,0,0,4,7.863493,-0.017712593
456.8,0,0,3,0,24,36,3,0,0,0,0,0,9,0,0,3,9.002311,-0.0676589
384.7,0,0,3,6,18,36,3,0,0,0,0,0,3,0,0,3,6.7229853,-0.17520118
581.0,0,0,4,0,30,44,4,0,0,0,0,0,12,0,0,4,10.400113,0.13699543
513.0,0,1,5,15,20,52,5,0,0,0,0,0,0,0,0,5,7.4402266,0.13668251
615.3,0,1,6,18,24,62,6,0,0,0,0,0,0,0,0,6,8.405106,0.3134669
527.1,0,1,5,16,21,54,5,0,0,0,0,0,0,0,0,5,7.8717575,0.2896793
424.9,0,1,4,12,17,44,4,0,0,0,0,0,0,0,0,4,6.1975155,0.16792488
699.4,0,1,6,18,30,74,6,0,0,0,0,0,0,0,0,4,11.771001,1.1921353
270.27,1,1,1,3,10,11,1,5,0,0,0,1,0,0,0,1,4.53732,0.13731551
298.32,1,1,1,3,12,15,1,5,0,0,0,1,0,0,0,1,4.8935885,0.041834235
284.3,1,1,1,3,11,13,1,5,0,0,0,1,0,0,0,1,4.6866426,0.08449745
256.24,1,1,1,3,9,9,1,5,0,0,0,1,0,0,0,1,4.4133224,0.22265446
282.28,1,1,1,2,11,11,1,5,0,0,0,1,1,0,0,1,4.603933,0.13070476
330.32,1,1,1,3,12,15,3,5,0,0,0,1,0,0,0,3,3.459292,-1.6979431
304.26,1,1,1,2,10,10,2,6,0,0,0,1,0,0,0,2,3.85333,-0.5542867
452.32,1,1,1,2,16,10,2,10,0,0,0,2,0,0,0,2,5.217105,-2.729603
362.31,1,1,1,3,13,13,2,7,0,0,0,1,1,0,0,2,4.4709573,-0.21022367
288.24,1,1,1,3,9,9,3,5,0,0,0,1,0,0,0,3,2.6781757,-1.8169885
366.28,1,1,1,2,12,10,2,8,0,0,0,1,1,0,0,2,4.3048143,-0.014402747
320.71,1,1,1,2,10,10,2,5,0,1,0,1,0,0,0,2,3.918224,-0.5817168
326.33,1,1,1,2,13,15,2,5,0,0,0,1,1,0,0,2,4.4296055,-0.4712062
284.25,1,1,1,2,10,9,2,5,0,0,0,1,1,0,0,2,3.8133464,-0.4806744
354.49,0,0,2,6,14,22,2,4,0,0,0,1,0,0,0,2,6.920257,0.3737272
356.67,1,1,1,1,10,5,1,8,0,1,0,1,1,0,0,1,4.399819,0.069464564
344.66,1,1,1,1,9,5,1,8,0,1,0,1,0,0,0,1,4.282607,0.03991556
354.27,1,1,1,2,11,10,2,8,0,0,0,1,0,0,0,2,4.146688,-0.23636268
312.31,1,1,1,2,12,13,2,5,0,0,0,1,1,0,0,2,4.2484713,-0.47352183
320.71,1,1,1,2,10,10,2,5,0,1,0,1,0,0,0,2,3.918224,-0.5817168
424.26,1,1,1,1,14,6,2,10,0,0,0,2,0,1,0,2,4.760295,-3.5531788
328.35,1,1,1,3,13,17,2,5,0,0,0,1,0,0,0,2,4.480543,-0.52313554
474.6,0,0,2,6,18,30,6,4,0,0,0,1,0,0,0,6,4.142918,-5.570334
520.28,1,1,1,2,12,12,2,16,0,0,0,0,0,0,0,2,5.421191,3.3416665
304.25,1,1,1,3,8,12,1,8,0,0,0,0,0,0,0,1,4.99542,2.4521048
