RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1,0,1,2
358.73,0,0,4,8,14,30,3,0,0,0,0,1,0,4,0,4,6.96862,0.63817155,-0.2514018,3.7397103,-0.38636336
278.49,0,0,2,4,14,22,2,0,0,0,0,1,2,4,0,2,6.419978,-0.49582887,-0.25136924,3.326116,-0.1439083
196.32,0,0,1,3,10,16,2,0,0,0,0,1,0,2,0,2,3.642149,-5.243326,0.10667408,1.4022859,26.83139
224.37,0,0,1,3,12,20,2,0,0,0,0,1,0,2,0,2,4.1903024,-5.295828,0.20723581,2.291059,0.2451411
252.42,0,0,1,3,14,24,2,0,0,0,0,1,0,2,0,2,4.9856453,-5.397702,0.32531786,2.311763,0.80618894
396.7,0,0,3,9,18,32,4,0,0,0,0,1,1,0,1,3,7.2200613,-0.20830321,0.64156985,3.7282298,0.46817464
308.52,0,0,2,6,15,24,3,0,0,0,0,1,1,0,1,2,6.2951794,-0.6067257,0.6155341,3.585406,0.983729
398.7,0,0,3,9,18,34,4,0,0,0,0,1,0,0,1,3,7.2251005,-0.123472095,0.5274611,3.4544666,0.2955907
412.7,0,0,3,9,19,36,4,0,0,0,0,1,0,0,1,3,7.554573,0.009231091,0.66475224,3.2213647,0.5697521
392.6,0,0,2,8,20,32,4,0,0,0,0,1,2,0,1,3,7.0959425,-0.611171,0.5974283,2.711758,0.88790154
428.7,0,0,2,6,23,32,4,0,0,0,0,2,1,0,1,3,7.8606024,-1.9848304,0.7067061,3.3456826,-0.1088554
426.7,0,0,3,10,19,34,5,0,0,0,0,1,1,0,1,4,6.866959,-0.5108528,0.844198,3.4419563,0.14326221
484.9,0,0,4,12,21,40,5,0,0,0,0,1,1,0,1,4,7.7180853,-0.007203698,0.59325296,3.0466037,0.018165836
338.54,0,0,2,7,16,26,4,0,0,0,0,1,1,0,1,3,5.9692755,-0.8927225,0.94042134,3.8812358,0.10255562
392.7,0,0,2,10,21,36,3,0,0,0,0,1,1,0,1,2,7.9586916,-0.0029640198,0.92590296,3.2661505,0.08847697
522.9,0,0,3,15,27,50,4,0,0,0,0,1,1,0,1,3,10.570061,0.06288779,0.4562907,0.45464817,2.4775698
352.7,0,0,2,11,19,36,2,0,0,0,0,1,0,0,0,2,8.054669,0.62937033,0.23524547,3.571808,0.08417812
408.7,0,0,2,10,21,36,4,0,0,0,0,1,1,1,1,3,7.293171,-0.60805964,0.7139072,2.6981173,0.19401179
427.1,0,0,2,10,21,35,3,0,0,1,0,1,1,0,1,2,7.7729654,-0.39396036,0.7480562,2.9464808,0.1694649
524.8,0,0,2,11,30,44,4,0,0,0,0,2,2,0,1,3,10.199225,-1.1960249,0.41141632,0.56430537,2.2205944
538.9,0,0,3,15,27,50,5,0,0,0,0,1,1,1,1,4,10.209109,-1.9883691,0.29564977,0.9034782,-0.24558502
422.7,0,0,2,11,22,38,4,0,0,0,0,1,1,0,1,3,7.7548275,-0.21401095,0.60015154,3.413849,0.13984096
364.7,0,0,2,10,20,36,2,0,0,0,0,1,1,0,0,2,8.475625,0.5349977,0.5114556,3.185089,0.7049401
352.6,0,0,2,7,17,28,4,0,0,0,0,1,1,0,1,3,6.282578,-0.87478745,0.7088027,3.8734841,0.64203745
392.7,0,0,2,10,21,36,3,0,0,0,0,1,1,0,1,2,7.9586916,-0.0029640198,0.88562137,2.749375,-0.33945686
396.7,0,0,3,9,18,32,4,0,0,0,0,1,1,0,1,3,7.2200613,-0.20830321,0.65598387,3.5405524,0.20744689
484.9,0,0,4,12,21,40,5,0,0,0,0,1,1,0,1,4,7.7180853,-0.007203698,0.66779906,3.7224426,-0.1593002
364.7,0,0,2,6,20,36,2,0,0,0,0,1,1,0,0,2,8.502973,0.3573711,0.60480636,3.044999,0.38833824
308.56,0,0,2,7,16,28,2,0,0,0,0,1,1,0,0,2,6.99634,-0.03859806,0.13325891,3.4783127,0.42588484
414.7,0,0,3,10,18,34,5,0,0,0,0,1,0,0,1,4,6.620587,-0.66130686,0.4793974,4.115914,0.30978063
268.38,0,0,1,5,13,20,4,0,0,0,0,1,0,0,1,3,3.4893107,-2.5754492,1.0095379,2.140692,8.098294
428.7,0,0,3,10,19,36,5,0,0,0,0,1,0,0,1,4,6.7731085,-0.65247345,0.340687,3.7891552,-0.19005121
340.56,0,0,2,7,16,28,4,0,0,0,0,1,0,0,1,3,5.928264,-0.8756851,0.9665803,3.5974984,0.2056229
555.0,0,1,5,15,21,50,7,0,0,0,0,0,0,0,2,5,6.6044283,-0.40366817,0.49331468,3.232377,0.3250973
629.2,0,1,6,18,24,60,7,0,0,0,0,0,0,0,1,6,8.175247,0.18331897,0.7942808,3.4702852,0.27828473
541.1,0,1,5,15,21,52,6,0,0,0,0,0,0,0,1,5,7.5409155,-0.03435123,0.56956387,3.8113735,0.38810694
452.9,0,1,4,12,18,44,5,0,0,0,0,0,0,0,1,4,6.5178714,-0.19323277,0.73670334,3.9475038,-0.43670866
585.1,0,1,5,15,22,52,8,0,0,0,0,0,0,0,2,6,6.2966347,-0.72510946,0.7920795,3.55949,0.58862656
643.2,0,1,6,18,24,58,8,0,0,0,0,0,0,0,2,6,7.060109,-0.20574439,0.7100821,3.6516507,0.65578586
